spanish,english,domain,collocations
el aire acondicionado,air conditioning,utilities,encender el aire acondicionado; revisar el aire acondicionado; limpiar el aire acondicionado
el filtro,filter,utilities,limpiar el filtro; cambiar el filtro; obstruir el filtro
la encimera,countertop,housing,limpiar la encimera; rayar la encimera; cambiar la encimera
el grifo,faucet,utilities,cambiar el grifo; arreglar el grifo; cerrar el grifo
la mampara,shower screen,housing,limpiar la mampara; instalar la mampara; cambiar la mampara
el plato de ducha,shower tray,housing,instalar el plato de ducha; cambiar el plato de ducha; limpiar el plato de ducha; selllar el plato de ducha
el inodoro,toilet,utilities,desatascar el inodoro; limpiar el inodoro; cambiar el inodoro
la cisterna,flush tank,utilities,reparar la cisterna; accionar la cisterna; cambiar la cisterna
el azulejo,tile,materials,colocar el azulejo; romper el azulejo; limpiar el azulejo
la baldosa,floor tile,materials,colocar la baldosa; cambiar la baldosa; limpiar la baldosa
el rodapié de madera,wooden baseboard,housing,instalar el rodapié de madera; barnizar el rodapié de madera; cortar el rodapié de madera; pegar el rodapié de madera
el parquet,parquet,housing,pulir el parquet; barnizar el parquet; instalar el parquet
la tarima flotante,laminate flooring,housing,instalar la tarima flotante; limpiar la tarima flotante; colocar la tarima flotante; cuidar la tarima flotante
la moqueta,carpet,housing,aspirar la moqueta; limpiar la moqueta; cambiar la moqueta
la pintura al temple,distemper paint,materials,aplicar la pintura al temple; comprar la pintura al temple; diluir la pintura al temple; preparar la pintura al temple
el rodillo de espuma,foam roller,tools,usar el rodillo de espuma; limpiar el rodillo de espuma; cargar el rodillo de espuma; pasar el rodillo de espuma
la paletina,brush,tools,usar la paletina; limpiar la paletina; mojar la paletina; recortar con la paletina
la cubeta,paint tray,tools,limpiar la cubeta; usar la cubeta; llenar la cubeta; vaciar la cubeta
el andamio,scaffolding,tools,montar el andamio; desmontar el andamio; trabajar en el andamio
la escalera de mano,ladder,tools,subir la escalera de mano; usar la escalera de mano; desplegar la escalera de mano; apoyar la escalera de mano
la cinta métrica,tape measure,tools,usar la cinta métrica; medir con la cinta métrica; extender la cinta métrica; enrollar la cinta métrica
la escuadra,square,tools,usar la escuadra; medir con la escuadra; marcar con la escuadra; apoyar la escuadra
el cúter,utility knife,tools,usar el cúter; cambiar la cuchilla del cúter; cortar con el cúter; retraer el cúter
la sierra,saw,tools,usar la sierra; afilar la sierra; serrar con la sierra; guiar la sierra
el martillo de carpintero,claw hammer,tools,usar el martillo de carpintero; clavar con el martillo de carpintero; extraer clavos con el martillo de carpintero; sujetar el martillo de carpintero
el alicate,pliers,tools,usar el alicate; apretar con el alicate; cortar con el alicate; sujetar con el alicate
la llave fija,open-ended wrench,tools,usar la llave fija; apretar con la llave fija; aflojar con la llave fija; ajustar con la llave fija
la punta de atornillar,screwdriver bit,tools,cambiar la punta de atornillar; usar la punta de atornillar; insertar la punta de atornillar; seleccionar la punta de atornillar
la lijadora orbital,orbital sander,tools,usar la lijadora orbital; limpiar la lijadora orbital; pasar la lijadora orbital; cambiar la lija de la lijadora orbital
la pistola de silicona,caulking gun,tools,usar la pistola de silicona; cargar la pistola de silicona; aplicar silicona con la pistola; preparar la pistola de silicona
el banco de trabajo,workbench,tools,limpiar el banco de trabajo; organizar el banco de trabajo; fijar piezas al banco de trabajo; usar el banco de trabajo
la caja de herramientas,toolbox,tools,organizar la caja de herramientas; llevar la caja de herramientas; abrir la caja de herramientas; cerrar la caja de herramientas
el tornillo de banco,vise,tools,sujetar con el tornillo de banco; apretar el tornillo de banco; fijar en el tornillo de banco
el adhesivo,adhesive,materials,aplicar el adhesivo; extender el adhesivo; retirar el adhesivo; secar el adhesivo
el disolvente,solvent,materials,usar el disolvente; aplicar el disolvente; verter el disolvente; limpiar con disolvente
el decapante químico,chemical stripper,materials,aplicar el decapante químico; dejar actuar el decapante; retirar el decapante; neutralizar el decapante
la masilla de carrocero,body filler,materials,aplicar la masilla de carrocero; lijar la masilla de carrocero; extender la masilla; alisar la masilla
el yeso,plaster,materials,aplicar el yeso; preparar el yeso; extender el yeso; alisar el yeso; proyectar el yeso
el cemento,cement,materials,preparar el cemento; aplicar el cemento; verter el cemento; fraguar el cemento; mezclar el cemento
la arena,sand,materials,mezclar la arena; cribar la arena; transportar la arena; amontonar la arena
la grava,gravel,materials,extender la grava; compactar la grava; nivelar la grava; verter la grava
el ladrillo,brick,materials,colocar el ladrillo; asentar el ladrillo; cortar el ladrillo; pegar el ladrillo
la viga,beam,housing,instalar la viga; reparar la viga; apuntalar la viga; reforzar la viga; colocar la viga
el pilar,pillar,housing,reforzar el pilar; reparar el pilar; construir el pilar; inspeccionar el pilar; revestir el pilar
el forjado,floor slab,housing,reparar el forjado; revisar el forjado; apuntalar el forjado; hormigonar el forjado
el revestimiento,cladding/coating,housing,instalar el revestimiento; reparar el revestimiento; aplicar el revestimiento; renovar el revestimiento
la fachada,facade,housing,limpiar la fachada; pintar la fachada; reparar la fachada
la teja,roof tile,materials,cambiar la teja; colocar la teja; limpiar la teja
el canalón,gutter,housing,limpiar el canalón; reparar el canalón; instalar el canalón
el bajante,downspout,housing,limpiar el bajante; desatascar el bajante; reparar el bajante; sustituir el bajante; revisar el bajante
el patio interior,courtyard,housing,limpiar el patio interior; reformar el patio interior; pavimentar el patio interior; iluminar el patio interior
la terraza,terrace,housing,limpiar la terraza; reformar la terraza; impermeabilizar la terraza; alicatar la terraza; cerrar la terraza
el trastero,storage room,housing,limpiar el trastero; organizar el trastero; alquilar el trastero; vaciar el trastero; habilitar el trastero
la instalación eléctrica,electrical installation,utilities,revisar la instalación eléctrica; cambiar la instalación eléctrica; certificar la instalación eléctrica; reparar la instalación eléctrica
el cuadro eléctrico,electrical panel,utilities,abrir el cuadro eléctrico; revisar el cuadro eléctrico; cambiar el cuadro eléctrico; instalar el cuadro eléctrico
el retraso,delay,transport,acumular un retraso; sufrir un retraso; notificar un retraso; evitar el retraso
la tarjeta de embarque,boarding pass,travel,imprimir la tarjeta de embarque; presentar la tarjeta de embarque; perder la tarjeta de embarque
el control de seguridad,security check,travel,pasar el control de seguridad; superar el control de seguridad; evitar el control de seguridad
la maleta facturada,checked baggage,travel,recoger la maleta facturada; perder la maleta facturada; facturar la maleta facturada
la puerta de embarque,boarding gate,travel,localizar la puerta de embarque; cambiar la puerta de embarque; esperar en la puerta de embarque
el enlace,connection/link,transport,perder el enlace; asegurar el enlace; esperar el enlace
la tarifa,fare/rate,travel,consultar la tarifa; abonar la tarifa; aplicar la tarifa; comparar la tarifa
el alojamiento,accommodation,travel,buscar alojamiento; reservar alojamiento; pagar el alojamiento; encontrar alojamiento
la recepción,reception/front desk,travel,llamar a recepción; bajar a recepción; esperar en recepción
el servicio de habitaciones,room service,travel,pedir el servicio de habitaciones; solicitar el servicio de habitaciones; cancelar el servicio de habitaciones
la llave magnética,key card,travel,perder la llave magnética; desmagnetizar la llave magnética; devolver la llave magnética
la oficina de turismo,tourist office,transport,visitar la oficina de turismo; consultar la oficina de turismo; encontrar la oficina de turismo
el plano,map,transport,seguir el plano; consultar el plano; desplegar el plano
el punto de encuentro,meeting point,transport,fijar el punto de encuentro; cambiar el punto de encuentro; llegar al punto de encuentro
el transporte público,public transport,transport,utilizar el transporte público; fomentar el transporte público; mejorar el transporte público
la zona peatonal,pedestrian area,transport,acceder a la zona peatonal; ampliar la zona peatonal; evitar la zona peatonal
el atasco,traffic jam,transport,quedarse en un atasco; evitar un atasco; formar un atasco
el billete sencillo,single ticket,transport,comprar el billete sencillo; validar el billete sencillo; perder el billete sencillo
la frecuencia,frequency,transport,aumentar la frecuencia; reducir la frecuencia; consultar la frecuencia
la parada,stop,transport,esperar en la parada; saltarse la parada; solicitar la parada
la zona azul,blue zone (parking),transport,aparcar en zona azul; pagar la zona azul; multar en zona azul
el cajero automático,ATM,money,utilizar el cajero automático; localizar el cajero automático; retirar dinero del cajero automático
el cambio de divisas,currency exchange,money,realizar el cambio de divisas; consultar el cambio de divisas; solicitar el cambio de divisas
